id,text,author
id08286,"They are right in this much that their own ingenuity is a faithful representative of that of the mass; but when the cunning of the individual felon is diverse in character from their own, the felon foils them, of course.",EAP
id21286,Are there other rudimental thinking beings than man?,EAP
id12852,"Into the lands of civilisation came Nyarlathotep, swarthy, slender, and sinister, always buying strange instruments of glass and metal and combining them into instruments yet stranger.",HPL
id01457,"So the youth answered: ""I am Iranon, and come from Aira, a far city that I recall only dimly but seek to find again.",HPL
id00541,"People generally suspected him of knowing something about his mother's disappearance, and very few ever approached his neighbourhood now.",HPL
id00851,The column seemed very thin indeed as it plodded dreamily into the gulf.,HPL
id26032,"I sympathized with and partly understood them, but I was unformed in mind; I was dependent on none and related to none.",MWS
id22084,"The manipulations of Pompey had made, I must confess, a very striking difference in the appearance of the personal man.",EAP
id22887,"At about midnight Raymond and I took leave of my sister, to return to town.",MWS
id22209,"If I survive, and she be lost, I were far better dead.",MWS
id05067,"This aroused the stranger's attention, and he asked a multitude of questions concerning the route which the demon, as he called him, had pursued.",MWS
id15651,"Present her with a mirror, in which she may know herself; and, when she is an adept in that necessary but difficult science, she will wonder at her present mistake, and hasten to restore to me, what is by right mine, her forgiveness, her kind thoughts, her love.""",MWS
id07737,"Greece prepared for a vigorous resistance; it rose to a man; and the women, sacrificing their costly ornaments, accoutred their sons for the war, and bade them conquer or die with the spirit of the Spartan mother.",MWS
id04144,"In the meantime, we had been swept astern of the ship, and being quite out of her lee, were at the mercy of the tremendous sea which was still running.",EAP
id04611,"I was exceedingly surprised on receiving so rude an answer from a stranger, and I was also disconcerted on perceiving the frowning and angry countenances of his companions.",MWS
id16984,"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.",MWS
id21419,It had no peculiar it had no settled predominant expression to be fastened upon the memory; a countenance seen and instantly forgotten but forgotten with a vague and never ceasing desire of recalling it to mind.,EAP
id10266,"After much suffering she died, or was supposed to die.",EAP
id25999,"""The winter advanced, and an entire revolution of the seasons had taken place since I awoke into life.",MWS
id08328,"Notes on Same, Prof. Webb's Acct.""",HPL
id14112,Yet I am certainly unjust.,MWS
